prompt,expression_internvl,mapped_expression
A man turns his head slightly to the right and smiles gently while looking at a small butterfly near his shoulder.png,happy,happy
A boy looks upward with wide eyes and a surprised expression as snowflakes fall on his face.png,surprise,surprise
"A girl faces downward with a shy smile, cheeks slightly blushing.png",happy,happy
"A girl turns her head left and giggles, eyes squinted, reacting to a friend’s joke.png",happy,happy
"A girl turns her head over her right shoulder, smiling playfully toward a friend calling her name.png",happy,happy
"A lady turns her head back over her shoulder, lips slightly parted, showing a surprised expression.png",surprise,surprise
"A man faces slightly downward, smiling proudly as sunlight shines on his face.png",happy,happy
"A man leans his head toward his right shoulder, showing a puzzled or questioning look.png",surprise,surprise
"A man looks to his right, lips pursed as if whistling softly, with his head slightly raised.png",others,others
"A man looks up and to his left with a thoughtful expression, as if remembering something.png",confuse,confuse
"A man slightly turns his face upward to the left, smiling confidently as wind moves his hair.png",happy,happy
"A man tilts his head left with a relaxed smile, eyes glancing downward toward his pet dog.png",happy,happy
A teenage boy turns his head right and narrows his eyes with a playful smirk.png,happy,happy
"A woman looks down to her left, her mouth slightly open in a laugh, while holding a coffee cup.png",happy,happy
"A woman looks sideways toward the left, brows raised, as if reacting in surprise.png",surprise,surprise
"A woman looks upward with her head tilted back slightly, expressing joy and laughter.png",happy,happy
"A woman tilts her head backward with eyes closed, expressing satisfaction and calmness.png",happy,happy
"A woman with her head tilted right and eyes half-closed gives a soft, dreamy smile.png",happy,happy
"A young man looks straight but raises his eyebrows in curiosity, head slightly leaned forward.png",neutral,neutral
A young woman tilts her head downward with a warm grin as she gazes at a cat resting on her lap.png,happy,happy
