prompt,exps_word,exps_ground_truth
A man turns his head slightly to the right and smiles gently while looking at a small butterfly near his shoulder.,smile,happy
A young woman tilts her head downward with a warm grin as she gazes at a cat resting on her lap.,grin,happy
A boy looks upward with wide eyes and a surprised expression as snowflakes fall on his face.,surprised,surprise
"A girl turns her head over her right shoulder, smiling playfully toward a friend calling her name.",smiling,happy
"A woman looks down to her left, her mouth slightly open in a laugh, while holding a coffee cup.",laugh,happy
"A man looks up and to his left with a thoughtful expression, as if remembering something.",thoughtful,thoughtful
"A woman with her head tilted right and eyes half-closed gives a soft, dreamy smile.",smile,happy
"A young man looks straight but raises his eyebrows in curiosity, head slightly leaned forward.",forward,confuse
"A girl turns her head left and giggles, eyes squinted, reacting to a friend’s joke.",giggles,happy
"A man faces slightly downward, smiling proudly as sunlight shines on his face.",smiling,happy
"A lady turns her head back over her shoulder, lips slightly parted, showing a surprised expression.",surprised,surprise
"A man tilts his head left with a relaxed smile, eyes glancing downward toward his pet dog.",smile,happy
"A woman looks upward with her head tilted back slightly, expressing joy and laughter.",joy,happy
A teenage boy turns his head right and narrows his eyes with a playful smirk.,smirk,happy
"A girl faces downward with a shy smile, cheeks slightly blushing.",smile,happy
"A man leans his head toward his right shoulder, showing a puzzled or questioning look.",puzzled,confuse
"A woman looks sideways toward the left, brows raised, as if reacting in surprise.",surprise,surprise
"A man looks to his right, lips pursed as if whistling softly, with his head slightly raised.",lips pursed,neutral
"A woman tilts her head backward with eyes closed, expressing satisfaction and calmness.",calmness,neutral
"A man slightly turns his face upward to the left, smiling confidently as wind moves his hair.",smiling,happy
