Image,Final_Score,Exp (17%),Scen (17%),Pose (17%),ID_Sim (32%),VLM_Exp,Mivolo_Gender
0.jpg,0.57,1,1.0,0,0.72,surprise,male
1.jpg,0.34,0,0.0,1,0.0,surprise,male
2.jpg,0.0,0,0.0,0,0.0,surprise,male
3.jpg,0.16,0,0.0,0,0.5,others,male
4.jpg,0.29,0,1.0,0,0.38,others,male
5.jpg,0.17,0,1.0,0,0.0,others,male
6.jpg,0.36,0,1.0,0,0.6,others,male
7.jpg,0.2,0,0.8,0,0.21,others,male
8.jpg,0.29,0,0.8,0,0.47,surprise,male
9.jpg,0.36,0,1.0,0,0.58,surprise,male
10.jpg,0.15,0,0.0,0,0.47,surprise,male
11.jpg,0.12,0,0.0,0,0.37,others,male
12.jpg,0.35,0,1.0,0,0.57,others,male
13.jpg,0.17,0,1.0,0,0.0,others,male
14.jpg,0.39,0,1.0,0,0.69,others,male
15.jpg,0.24,0,0.5,0,0.47,surprise,male
16.jpg,0.15,0,0.0,0,0.48,surprise,male
17.jpg,0.26,1,0.5,0,0.0,happy,male
18.jpg,0.22,0,0.0,0,0.7,neutral,male
19.jpg,0.0,0,0.0,0,0.0,others,female
