prompt,expression_internvl
A man turns his head slightly to the right and smiles gently while looking at a small butterfly near his shoulder.png,happy
A boy looks upward with wide eyes and a surprised expression as snowflakes fall on his face.png,surprise
"A girl faces downward with a shy smile, cheeks slightly blushing.png","<think>
okay, lets look at the image the person has their eyes closed and a slight smile on their lips the lighting is warm, which might add to the feeling the expression seems calm and content theyre not showing any signs of surprise, confusion, or sadness the smile is gentle, not a big laugh, so maybe happy fits here but wait, sometimes a closed-eye smile can be neutral too however, the presence of a smile usually leans towards happy neutral would be if theres no emotion since theres a smile, i think happy is the right choice
</think>

happy"
"A girl turns her head left and giggles, eyes squinted, reacting to a friend’s joke.png",happy
"A girl turns her head over her right shoulder, smiling playfully toward a friend calling her name.png",happy
"A lady turns her head back over her shoulder, lips slightly parted, showing a surprised expression.png",surprise
"A man faces slightly downward, smiling proudly as sunlight shines on his face.png",happy
"A man leans his head toward his right shoulder, showing a puzzled or questioning look.png",surprise
"A man looks to his right, lips pursed as if whistling softly, with his head slightly raised.png",others
"A man looks up and to his left with a thoughtful expression, as if remembering something.png",confuse
"A man slightly turns his face upward to the left, smiling confidently as wind moves his hair.png",happy
"A man tilts his head left with a relaxed smile, eyes glancing downward toward his pet dog.png",happy
A teenage boy turns his head right and narrows his eyes with a playful smirk.png,happy
"A woman looks down to her left, her mouth slightly open in a laugh, while holding a coffee cup.png",happy
"A woman looks sideways toward the left, brows raised, as if reacting in surprise.png",surprise
"A woman looks upward with her head tilted back slightly, expressing joy and laughter.png",happy
"A woman tilts her head backward with eyes closed, expressing satisfaction and calmness.png",happy
"A woman with her head tilted right and eyes half-closed gives a soft, dreamy smile.png","<think>
okay, lets look at the image the person has their eyes closed and a big smile with teeth showing their face looks relaxed and joyful the smile is wide, which usually indicates happiness theres no sign of surprise like raised eyebrows or an open mouth the expression doesnt seem confused or sad since the smile is prominent and the eyes are closed in a content way, the emotion here is definitely happy no ambiguity here, so it should be happy
</think>

happy"
"A young man looks straight but raises his eyebrows in curiosity, head slightly leaned forward.png",neutral
A young woman tilts her head downward with a warm grin as she gazes at a cat resting on her lap.png,happy
